K,GCCA,GCCN,GCCD,AA,AN,AD
1.0,0.025,0.0008,0.0007,-0.20170624325784636,-0.2525603348472694,-0.19495706194043494
1.2742749857031337,0.3026,0.0013,0.001,-0.15282275758737973,-0.2550616414025449,-0.18207093316654638
1.6237767391887217,0.4106,0.0017,0.0009,-0.12149594087915018,-0.28734906022489165,-0.2952103993668896
2.0691380811147897,0.5075,0.0028,0.0015,-0.021921082077803303,-0.2923756845737848,-0.2174444771577577
2.636650898730358,0.5584,0.0054,0.0021,0.012921200845203332,-0.23530666825050348,-0.32553776381463945
3.3598182862837818,0.6199,0.0323,0.0024,0.021862358771237135,-0.22516605546052154,-0.25677713563134297
4.281332398719393,0.6585,0.3022,0.0029,0.030482350300617887,-0.16892862059285305,-0.19510291479080843
5.455594781168519,0.6774,0.3985,0.0326,0.03629111765114234,-0.1088355600545709,-0.23266860793014982
6.951927961775605,0.7061,0.4722,0.0166,0.04201396346860981,-0.12115940182754197,-0.1925445883424288
8.858667904100825,0.7319,0.5374,0.108,0.021140476622889464,-0.09709646038200065,-0.17399421109729438
11.28837891684689,0.7564,0.6196,0.1587,0.03596091997678064,-0.05088101366336877,-0.14108014781414385
14.38449888287663,0.7738,0.6639,0.2523,0.03315103821963965,-0.03923691865137118,-0.13231572471647152
18.329807108324356,0.7881,0.714,0.3186,0.03136919335597459,-0.03759410404731921,-0.05747622854380913
23.357214690901213,0.8016,0.7613,0.4251,0.024422000856430485,-0.02531508440413218,-0.047351140852656334
29.76351441631318,0.8039,0.8002,0.4885,0.025623088773667174,-0.024819218279456275,-0.06195663018123384
37.926901907322495,0.8175,0.8303,0.5572,0.017315579007004304,-0.015586045096656856,-0.02849540565957038
48.32930238571752,0.833,0.8587,0.6083,0.022879082956798653,-0.014414857251513584,-0.027319894186615575
61.584821106602604,0.8332,0.8858,0.6508,0.01719406042044589,-0.011643592136035925,-0.03813497408704148
78.47599703514611,0.8306,0.8999,0.7061,0.013601480506962102,-0.0053919322601760486,-0.03599637133794267
100.0,0.8525,0.9118,0.7482,0.008129500902715863,-0.010228329837716342,-0.016287321034697076
